t,i,x,x',x'',e(t),integral(e(t)),d(e(t))/dt
0.64,1.28731,5.05528,-0.0758165,-6.09121,-0.055402,0.00315291,-0.0530911
0.65,1.27368,5.05452,-0.136729,-5.76088,-0.0552791,0.00259889,0.0122899
0.66,1.25724,5.05315,-0.194337,-5.36979,-0.0545209,0.0020461,0.0758165
0.67,1.23827,5.05121,-0.248035,-4.92672,-0.0531537,0.00150089,0.136729
0.68,1.21709,5.04873,-0.297303,-4.44088,-0.0512103,0.000969351,0.194337
0.69,1.194,5.04576,-0.341711,-3.92158,-0.0487299,0.000457248,0.248035
0.7,1.16933,5.04234,-0.380927,-3.37799,-0.0457569,-3.01E-05,0.297303
0.71,1.14341,5.03853,-0.414707,-2.81899,-0.0423398,-0.000487621,0.341711
0.72,1.11656,5.03438,-0.442897,-2.25289,-0.0385305,-0.000911019,0.380927
0.73,1.08911,5.02995,-0.465426,-1.68738,-0.0343834,-0.00129632,0.414707
0.74,1.06136,5.0253,-0.4823,-1.12938,-0.0299545,-0.00164016,0.442897
0.75,1.03361,5.02048,-0.493594,-0.584987,-0.0253002,-0.0019397,0.465426
0.76,1.00615,5.01554,-0.499443,-0.059474,-0.0204772,-0.00219271,0.4823
0.77,0.979227,5.01055,-0.500038,0.442732,-0.0155413,-0.00239748,0.493594
0.78,0.953101,5.00555,-0.495611,0.918008,-0.0105469,-0.00255289,0.499443
0.79,0.927991,5.00059,-0.486431,1.36349,-0.00554647,-0.00265836,0.500038
0.8,0.904101,4.99573,-0.472796,1.77699,-0.00059036,-0.00271382,0.495611
0.81,0.881616,4.991,-0.455026,2.15694,0.00427395,-0.00271973,0.486431
0.82,0.860699,4.98645,-0.433457,2.50231,0.00900191,-0.00267699,0.472796
0.83,0.841493,4.98211,-0.408433,2.81251,0.0135522,-0.00258697,0.455026
0.84,0.82412,4.97803,-0.380308,3.08731,0.0178867,-0.00245145,0.433457
0.85,0.808685,4.97423,-0.349435,3.32674,0.0219711,-0.00227258,0.408433
0.86,0.795273,4.97073,-0.316168,3.53109,0.0257742,-0.00205287,0.380308
0.87,0.78395,4.96757,-0.280857,3.70075,0.0292685,-0.00179513,0.349435
0.88,0.774766,4.96476,-0.243849,3.83623,0.0324302,-0.00150244,0.316168
0.89,0.767753,4.96232,-0.205487,3.93807,0.0352388,-0.00117814,0.280857
0.9,0.762926,4.96027,-0.166106,4.00681,0.0376772,-0.000825753,0.243849
0.91,0.760287,4.95861,-0.126038,4.04302,0.0397321,-0.00044898,0.205487
0.92,0.759818,4.95735,-0.0856081,4.0472,0.0413932,-5.17E-05,0.166106
0.93,0.761488,4.95649,-0.0451362,4.01985,0.0426536,0.000362273,0.126038
0.94,0.765251,4.95604,-0.00493768,3.96145,0.0435096,0.000788808,0.0856081
0.95,0.771045,4.95599,0.0346768,3.87248,0.043961,0.0012239,0.0451362
0.96,0.778794,4.95634,0.0734017,3.75346,0.0440104,0.00166351,0.00493768
0.97,0.788407,4.95707,0.110936,3.60494,0.0436636,0.00210362,-0.0346768
0.98,0.799778,4.95818,0.146986,3.42761,0.0429296,0.00254025,-0.0734017
0.99,0.812789,4.95965,0.181262,3.22228,0.0418202,0.00296955,-0.110936
1,0.827306,4.96146,0.213484,2.98995,0.0403504,0.00338775,-0.146986
1.01,0.843184,4.9636,0.243384,2.73187,0.0385378,0.00379126,-0.181262
1.02,0.860265,4.96603,0.270703,2.44956,0.0364029,0.00417663,-0.213484
1.03,0.878377,4.96874,0.295198,2.14485,0.0339691,0.00454066,-0.243384
1.04,0.897342,4.97169,0.316647,1.81992,0.0312621,0.00488035,-0.270703
1.05,0.91697,4.97486,0.334846,1.47732,0.0283101,0.00519298,-0.295198
1.06,0.937064,4.9782,0.349619,1.11998,0.0251436,0.00547608,-0.316647
1.07,0.957421,4.9817,0.360819,0.751179,0.0217951,0.00572751,-0.334846
1.08,0.977835,4.98531,0.368331,0.374575,0.0182989,0.00594546,-0.349619
1.09,0.998097,4.98899,0.372077,-0.00587208,0.0146908,0.00612845,-0.360819
1.1,1.018,4.99271,0.372018,-0.385931,0.0110074,0.00627536,-0.368331
1.11,1.03734,4.99643,0.368159,-0.761173,0.00728668,0.00638543,-0.372077
1.12,1.05593,5.00012,0.360547,-1.12705,0.0035665,0.0064583,-0.372018
1.13,1.07356,5.00372,0.349276,-1.47897,-0.000115085,0.00649397,-0.368159
1.14,1.09006,5.00721,0.334487,-1.81243,-0.00372055,0.00649282,-0.360547
1.15,1.10528,5.01056,0.316362,-2.12307,-0.00721332,0.00645561,-0.349276
1.16,1.11905,5.01372,0.295132,-2.40682,-0.0105582,0.00638348,-0.334487
1.17,1.13125,5.01667,0.271064,-2.65998,-0.0137218,0.0062779,-0.316362
1.18,1.14178,5.01938,0.244464,-2.8793,-0.0166731,0.00614068,-0.295132
1.19,1.15053,5.02183,0.215671,-3.06209,-0.0193838,0.00597395,-0.271064
1.2,1.15746,5.02399,0.18505,-3.20623,-0.0218284,0.00578011,-0.244464
1.21,1.1625,5.02584,0.152987,-3.31029,-0.0239851,0.00556182,-0.215671
1.22,1.16566,5.02737,0.119885,-3.3735,-0.0258356,0.00532197,-0.18505
1.23,1.16692,5.02856,0.0861495,-3.39578,-0.0273655,0.00506362,-0.152987
1.24,1.16632,5.02943,0.0521918,-3.37771,-0.0285643,0.00478996,-0.119885
1.25,1.16391,5.02995,0.0184147,-3.32053,-0.0294258,0.00450432,-0.0861495
1.26,1.15976,5.03013,-0.0147906,-3.22607,-0.0299477,0.00421006,-0.0521918
1.27,1.15395,5.02998,-0.0470514,-3.0967,-0.0301319,0.00391058,-0.0184147
1.28,1.1466,5.02951,-0.0780184,-2.93522,-0.029984,0.00360926,0.0147906
1.29,1.13783,5.02873,-0.107371,-2.74484,-0.0295135,0.00330942,0.0470514
1.3,1.12776,5.02766,-0.134819,-2.52904,-0.0287333,0.00301429,0.0780184
1.31,1.11655,5.02631,-0.160109,-2.2915,-0.0276596,0.00272696,0.107371
